time,divergence_dt,divergence_dt_half,divergence_dt_quarter
0.0000,1.00000000e-06,1.00000000e-06,1.00000000e-06
0.0010,1.00000103e-06,1.00000026e-06,1.00000026e-06
0.0020,1.00000410e-06,1.00000103e-06,1.00000103e-06
0.0030,1.00000924e-06,1.00000231e-06,1.00000231e-06
0.0040,1.00001644e-06,1.00000411e-06,1.00000411e-06
0.0050,1.00002570e-06,1.00000642e-06,1.00000642e-06
0.0060,1.00003703e-06,1.00000924e-06,1.00000924e-06
0.0070,1.00005043e-06,1.00001258e-06,1.00001258e-06
0.0080,1.00006591e-06,1.00001644e-06,1.00001644e-06
0.0090,1.00008346e-06,1.00002081e-06,1.00002081e-06
0.0100,1.00010310e-06,1.00002570e-06,1.00002570e-06
0.0110,1.00012482e-06,1.00003111e-06,1.00003111e-06
0.0120,1.00014863e-06,1.00003703e-06,1.00003703e-06
0.0130,1.00017453e-06,1.00004348e-06,1.00004348e-06
0.0140,1.00020253e-06,1.00005044e-06,1.00005044e-06
0.0150,1.00023263e-06,1.00005791e-06,1.00005791e-06
0.0160,1.00026483e-06,1.00006591e-06,1.00006591e-06
0.0170,1.00029913e-06,1.00007443e-06,1.00007443e-06
0.0180,1.00033555e-06,1.00008347e-06,1.00008347e-06
0.0190,1.00037408e-06,1.00009302e-06,1.00009302e-06
0.0200,1.00041473e-06,1.00010310e-06,1.00010310e-06
0.0210,1.00045750e-06,1.00011370e-06,1.00011370e-06
0.0220,1.00050239e-06,1.00012482e-06,1.00012482e-06
0.0230,1.00054941e-06,1.00013647e-06,1.00013647e-06
0.0240,1.00059856e-06,1.00014863e-06,1.00014864e-06
0.0250,1.00064985e-06,1.00016132e-06,1.00016132e-06
0.0260,1.00070327e-06,1.00017454e-06,1.00017454e-06
0.0270,1.00075884e-06,1.00018827e-06,1.00018828e-06
0.0280,1.00081655e-06,1.00020254e-06,1.00020254e-06
0.0290,1.00087642e-06,1.00021732e-06,1.00021732e-06
0.0300,1.00093843e-06,1.00023263e-06,1.00023263e-06
0.0310,1.00100261e-06,1.00024847e-06,1.00024847e-06
0.0320,1.00106894e-06,1.00026483e-06,1.00026484e-06
0.0330,1.00113744e-06,1.00028172e-06,1.00028173e-06
0.0340,1.00120810e-06,1.00029914e-06,1.00029914e-06
0.0350,1.00128094e-06,1.00031709e-06,1.00031709e-06
0.0360,1.00135595e-06,1.00033556e-06,1.00033556e-06
0.0370,1.00143314e-06,1.00035456e-06,1.00035456e-06
0.0380,1.00151251e-06,1.00037409e-06,1.00037409e-06
0.0390,1.00159407e-06,1.00039415e-06,1.00039415e-06
0.0400,1.00167782e-06,1.00041474e-06,1.00041474e-06
0.0410,1.00176376e-06,1.00043586e-06,1.00043586e-06
0.0420,1.00185190e-06,1.00045751e-06,1.00045751e-06
0.0430,1.00194224e-06,1.00047969e-06,1.00047969e-06
0.0440,1.00203478e-06,1.00050240e-06,1.00050240e-06
0.0450,1.00212954e-06,1.00052564e-06,1.00052564e-06
0.0460,1.00222650e-06,1.00054942e-06,1.00054942e-06
0.0470,1.00232568e-06,1.00057373e-06,1.00057373e-06
0.0480,1.00242708e-06,1.00059857e-06,1.00059857e-06
0.0490,1.00253071e-06,1.00062395e-06,1.00062395e-06
0.0500,1.00263656e-06,1.00064986e-06,1.00064986e-06
0.0510,1.00274464e-06,1.00067630e-06,1.00067630e-06
0.0520,1.00285496e-06,1.00070328e-06,1.00070328e-06
0.0530,1.00296751e-06,1.00073080e-06,1.00073080e-06
0.0540,1.00308231e-06,1.00075885e-06,1.00075885e-06
0.0550,1.00319935e-06,1.00078744e-06,1.00078744e-06
0.0560,1.00331865e-06,1.00081656e-06,1.00081657e-06
0.0570,1.00344019e-06,1.00084623e-06,1.00084623e-06
0.0580,1.00356400e-06,1.00087643e-06,1.00087643e-06
0.0590,1.00369006e-06,1.00090717e-06,1.00090717e-06
0.0600,1.00381839e-06,1.00093844e-06,1.00093845e-06
0.0610,1.00394899e-06,1.00097026e-06,1.00097026e-06
0.0620,1.00408186e-06,1.00100262e-06,1.00100262e-06
0.0630,1.00421701e-06,1.00103551e-06,1.00103552e-06
